DMS ID,x_var,spearman_rho,p_value,n_points,x_unique,y_unique,x_min,x_max,y_min,y_max,spearman_diff_id,sig_diff_ge_0_05
AAV2_CAPSD_Sinai,prop30,-0.68990197342918,0.004423759537356927,15,14,15,0.4119047619047619,1.0,0.4450236994399351,0.5166290160774228,0.07160531663748776,True
BP434_RPC1_Tsuboyama,prop30,1.0,0.0,3,3,3,0.4854815790763133,0.7641068455575141,0.5527121155171922,0.5855807207412946,0.0328686052241024,False
BPP22_COAT_Tsuboyama,prop30,-0.39304183206703214,0.20625575661998335,12,2,12,0.9995957262489172,1.0,0.1296085583865594,0.3819819081148339,0.2523733497282745,True
BPT7_RPOL_Tsuboyama,prop30,0.7393938711561631,0.003872186952042605,13,4,13,0.788508992127888,1.0,0.0048957536176969,0.3657432041593124,0.3608474505416155,True
CVB3_2A_Alvarez,prop30,0.861050069922808,0.0006630680655063392,11,10,11,0.0044913745193889,0.9873706838640334,0.2005211442406524,0.3754763142523522,0.17495517001169977,True
CVB3_2B_Alvarez,prop30,-0.9191989372366619,0.0001690058636386776,10,7,10,0.8938714499252616,1.0,0.1589457747725373,0.5683987095385541,0.4094529347660168,True
CVB3_2C_Alvarez,prop30,-0.09999999999999999,0.8728885715695383,5,5,5,0.2750737463126844,1.0,0.2374464525689006,0.4980052368792234,0.26055878431032276,True
CVB3_3A_Alvarez,prop30,-0.7033603702976762,0.010708109920351604,12,8,12,0.8126195028680688,1.0,0.2456859132241753,0.5006360747775844,0.2549501615534091,True
CVB3_3B_Alvarez,prop30,-0.6289709020331511,0.02128306571410688,13,3,13,0.9204853103379124,1.0,0.2534656987952812,0.5142547745800389,0.2607890757847577,True
CVB3_3C_Alvarez,prop30,0.19780219780219782,0.51713091148483,13,13,13,0.2837582625118036,0.9992028696691908,0.3819289685307439,0.5165719034760965,0.13464293494535262,True
CVB3_3D_Alvarez,prop30,-0.9368150178249588,7.128971801425411e-06,12,7,12,0.2557572473584394,1.0,0.3241367416225363,0.5137181022370447,0.18958136061450842,True
CVB3_POLG_Mattenberger,prop30,-0.5,0.6666666666666667,3,3,3,0.4615384615384615,0.5314562252529696,0.3563465896039098,0.3681686811856798,0.01182209158177,False
CVB3_VP1_Alvarez,prop30,0.07252747252747253,0.8053763135410923,14,14,14,0.5125751168484309,1.0,0.2917651213206387,0.4120800467161264,0.12031492539548772,True
CVB3_VP3_Alvarez,prop30,-0.7235220049631592,0.0051826920547547424,13,12,13,0.2631433569652886,1.0,0.3310881889510161,0.4415835277271525,0.11049533877613638,True
DENV_POLG_Suphatrakul,prop30,-0.5714285714285713,0.02606319337636288,15,15,15,0.8312458800263678,0.99889001942466,0.3384130814001287,0.5156574242413263,0.1772443428411976,True
EV_CAPSD_Bakhache,prop30,0.8153846153846154,0.00037913223820058216,14,14,14,0.5008305647840532,0.9343168247277835,0.2196577929323886,0.251197315858425,0.03153952292603637,False
EV_REP_Bakhache,prop30,-0.5384615384615385,0.07089431754922315,12,12,12,0.3045668233713902,0.7180376089925412,0.3699705087293424,0.3899186989928068,0.019948190263464394,False
HIV1_BF520_ENV_Haddox,prop30,0.6868131868131868,0.009509496050393583,13,13,13,0.987234675765016,0.9912503281126958,0.3925509304958862,0.4119378795148474,0.019386949018961208,False
HIV1_BG505_ENV_Haddox,prop30,-0.6813186813186813,0.010340409451492895,13,13,13,0.9918549658434052,0.994615442142712,0.354071777140617,0.390405522150357,0.036333745009740015,False
HIV1_HV1B9_ENV_DuenasDecamp,prop30,0.3681318681318681,0.21585718064938147,13,13,13,0.9896072186836518,0.9938866958284434,0.3740948144729011,0.4097727287142645,0.035677914241363407,False
IAV_H1_HA_Doud,prop30,-0.8866366079763102,2.390114279271958e-05,14,9,14,0.8285138687566027,1.0,0.3841056013961453,0.4784908718612635,0.09438527046511819,True
IAV_H1_HA_Wu,prop30,-0.8461303670027732,0.00013637366604722078,14,9,14,0.8285138687566027,1.0,0.3773799194088222,0.5096761821636732,0.13229626275485096,True
IAV_H1_NP_Doud,prop30,-0.2459326731425733,0.3585423505258305,16,13,16,0.5639810426540285,1.0,0.1601541540667732,0.3063179048295451,0.14616375076277188,True
IAV_H3_HA_Lee,prop30,-0.7579981691863086,0.0010589804782236633,15,10,15,0.8403556100551809,1.0,0.2737541333736235,0.3795011840498859,0.10574705067626244,True
IAV_H3_NP_Doud,prop30,0.13978584413286751,0.6192793544842077,15,13,15,0.5373831775700935,1.0,0.1704631097400622,0.284154124423585,0.1136910146835228,True
IAV_H5_HA_Dadonaite,prop30,-0.6030929211615511,0.02242236162053773,14,9,14,0.8113881661666397,1.0,0.302757457332284,0.3571340204511327,0.0543765631188487,True
IAV_NA_Jiang,prop30,0.34411764705882353,0.19185563142554293,16,16,16,0.665868263473054,0.9928991890668094,0.4358332815453657,0.5810792672475316,0.14524598570216585,True
IAV_PA_Wu,prop30,0.46286143561929677,0.061350083241781456,17,14,17,0.7648725212464589,1.0,0.2875164771308495,0.4966275542043161,0.2091110770734666,True
IAV_PB2_Soh,prop30,0.20478238061200055,0.43044144226569314,17,16,17,0.9644970414201184,1.0,0.1514773123096615,0.2679846280621643,0.11650731575250278,True
IAV_RDRP_Li,prop30,-0.37478998448135253,0.16869040764240067,15,12,15,0.7995226730310262,1.0,0.1739167732083021,0.3743201641561039,0.20040339094780182,True
LAMBDA_HCP_Tsuboyama,prop30,-0.631637753099167,0.027584641058513742,12,6,12,0.8521889900303424,1.0,0.1986348158383656,0.4354239376637819,0.2367891218254163,True
LASSA_GP_Carr,prop30,-0.5152677969047511,0.049329535419493156,15,11,15,0.7815003641660597,1.0,0.2290956224501787,0.3772106055193115,0.14811498306913282,True
NIPAH_F_Larsen,prop30,-0.4058823529411764,0.11879168453237476,16,16,16,0.0082369091978819,0.9433962264150944,0.1800416418853038,0.3451820587831949,0.1651404168978911,True
PESV_POLG_Tsuboyama,prop30,-0.731962776973689,0.004449197352450813,13,4,13,0.5523255813953488,1.0,0.0542446750148901,0.3818613476939739,0.3276166726790838,True
RmYN02_RBD_Starr,prop30,0.8205882352941177,9.84127041687538e-05,16,16,16,0.4250911501491548,0.9937044400265076,-0.2491867118028092,0.1729918403651111,0.42217855216792033,True
RsYN04_RBD_Starr,prop30,-0.709090909090909,0.021665923367532435,10,10,10,0.4253731343283582,0.9994982438534872,-0.0950145841679632,0.108989753609871,0.2040043377778342,True
RshSTT182_RBD_Starr,prop30,,,0,0,0,,,,,,False
SARS1_RBD_Starr,prop30,,,0,0,0,,,,,,False
SARS2_BA1_SPIKE_Dadonaite,prop30,-0.2982456140350877,0.229322411766133,18,18,18,0.4324991768192295,0.9868916926101916,0.3267462441401139,0.3857509692982587,0.05900472515814481,True
SARS2_DELTA_SPIKE_Dadonaite,prop30,-0.5789473684210527,0.011818464080461773,18,18,18,0.4226044226044226,1.0,0.2609842481941477,0.3141825339581556,0.05319828576400787,True
SARS2_MRPO_Flynn,prop30,-0.9440686400617011,4.00081269050957e-05,10,5,10,0.9953379953379954,1.0,0.0436651263539772,0.6054992905355836,0.5618341641816064,True
SARS2_PLPRO_Wu_abundance,prop30,-0.2833333333333333,0.46003032896571994,9,9,9,0.4823747680890538,1.0,0.1003811156263673,0.4054429059712924,0.3050617903449251,True
SARS2_PLPRO_Wu_activity,prop30,-0.38333333333333336,0.30849527238037144,9,9,9,0.4823747680890538,1.0,0.0564071258445804,0.4664738452800835,0.4100667194355031,True
SARS2_PRD0038_RBD_Starr,prop30,-0.4202375366424356,0.0824985479571108,18,17,18,0.5892255892255892,1.0,0.3373918847925182,0.4065864919640192,0.069194607171501,True
SARS2_RBD_Starr_binding,prop30,0.49638802889576883,0.036140323756959435,18,18,18,0.4258983275376718,0.9953688389017532,0.1907379744111135,0.2691705949316647,0.07843262052055117,True
SARS2_RBD_Starr_expression,prop30,0.48813209494324045,0.03985953090099972,18,18,18,0.4258983275376718,0.9953688389017532,0.326448396312413,0.433014548406704,0.10656615209429099,True
SARS2_XBB15_RBD_Taylor,prop30,0.523490002647948,0.025777115897135362,18,17,18,0.4213887979037012,0.985289310232102,0.303577436757163,0.4107315739223143,0.10715413716515132,True
