DMS ID,x_var,spearman_rho,p_value,n_points,x_unique,y_unique,x_min,x_max,y_min,y_max,spearman_diff_id,sig_diff
AAV2_CAPSD_Sinai,neff50,-0.6837493894061094,0.004943080566641356,15,11,15,72.0,269.9505655571763,0.4450236994399351,0.5166290160774228,0.07160531663748776,False
BP434_RPC1_Tsuboyama,neff50,0.5,0.6666666666666667,3,3,3,462.0,3767.000000000004,0.5527121155171922,0.5855807207412946,0.0328686052241024,False
BPP22_COAT_Tsuboyama,neff50,-0.8181818181818183,0.0011431050868040604,12,12,12,1836.0000000000125,177787.0000000061,0.1296085583865594,0.3819819081148339,0.2523733497282745,True
BPT7_RPOL_Tsuboyama,neff50,-0.21428571428571427,0.4820544547023683,13,13,13,41.0,64036.99999999934,0.0048957536176969,0.3657432041593124,0.3608474505416155,True
CVB3_2A_Alvarez,neff50,0.29090909090909095,0.38545696969136556,11,11,11,407.8961760461759,1791.5694676119683,0.2005211442406524,0.3754763142523522,0.17495517001169977,True
CVB3_2B_Alvarez,neff50,-0.406060606060606,0.24428229408662638,10,10,10,292.0000000000001,3896.000000000005,0.1589457747725373,0.5683987095385541,0.4094529347660168,True
CVB3_2C_Alvarez,neff50,-0.3,0.6238376647810728,5,5,5,199.82433015939523,26837.86763270171,0.2374464525689006,0.4980052368792234,0.26055878431032276,True
CVB3_3A_Alvarez,neff50,-0.33975533714409795,0.2799203496864415,12,11,12,206.0,8602.999999999993,0.2456859132241753,0.5006360747775844,0.2549501615534091,True
CVB3_3B_Alvarez,neff50,-0.12637362637362637,0.680785475070949,13,13,13,359.0000000000017,29576.999999997886,0.2534656987952812,0.5142547745800389,0.2607890757847577,True
CVB3_3C_Alvarez,neff50,-0.11538461538461539,0.7073898735142602,13,13,13,226.95184572435025,1089.5152327711146,0.3819289685307439,0.5165719034760965,0.13464293494535262,True
CVB3_3D_Alvarez,neff50,-0.9020979020979022,5.9978574465377e-05,12,12,12,413.95003607503605,3075.587140326211,0.3241367416225363,0.5137181022370447,0.18958136061450842,True
CVB3_POLG_Mattenberger,neff50,-1.0,0.0,3,3,3,378.6964396714395,385.814466089466,0.3563465896039098,0.3681686811856798,0.01182209158177,False
CVB3_VP1_Alvarez,neff50,-0.43736263736263736,0.11784483174447676,14,14,14,428.8676278485876,3175.125203480664,0.2917651213206387,0.4120800467161264,0.12031492539548772,True
CVB3_VP3_Alvarez,neff50,-0.18131868131868134,0.5532950092839335,13,13,13,301.42573115287496,1500.1326695206292,0.3310881889510161,0.4415835277271525,0.11049533877613638,True
DENV_POLG_Suphatrakul,neff50,-0.7785714285714285,0.0006273501294803568,15,15,15,208.4060526903117,647.3500166778211,0.3384130814001287,0.5156574242413263,0.1772443428411976,True
EV_CAPSD_Bakhache,neff50,-0.8549450549450549,9.766040002967738e-05,14,14,14,106.51713188772015,514.8113377807261,0.2196577929323886,0.251197315858425,0.03153952292603637,False
EV_REP_Bakhache,neff50,-0.4825174825174825,0.11210929146889191,12,12,12,316.7277777777779,1947.2054943677,0.3699705087293424,0.3899186989928068,0.019948190263464394,False
HIV1_BF520_ENV_Haddox,neff50,-0.8296703296703297,0.0004502862955462125,13,13,13,17607.83665051553,39314.8978791486,0.3925509304958862,0.4119378795148474,0.019386949018961208,False
HIV1_BG505_ENV_Haddox,neff50,-0.6648351648351648,0.013165575845550252,13,13,13,17617.911829157645,39406.01972544843,0.354071777140617,0.390405522150357,0.036333745009740015,False
HIV1_HV1B9_ENV_DuenasDecamp,neff50,0.39010989010989006,0.1875741161338378,13,13,13,17693.903201357047,40166.1082256259,0.3740948144729011,0.4097727287142645,0.035677914241363407,False
IAV_H1_HA_Doud,neff50,0.8989010989010989,1.2358700865600781e-05,14,14,14,1276.9955413487855,8473.728380266439,0.3841056013961453,0.4784908718612635,0.09438527046511819,False
IAV_H1_HA_Wu,neff50,0.7538461538461538,0.001844725289257219,14,14,14,1276.9955413487855,8473.728380266439,0.3773799194088222,0.5096761821636732,0.13229626275485096,True
IAV_H1_NP_Doud,neff50,0.6961682206460746,0.002739164888904626,16,14,16,83.28406593406596,1963.1706414479609,0.1601541540667732,0.3063179048295451,0.14616375076277188,True
