DMS ID,x_var,spearman_rho,p_value,n_points,x_unique,y_unique,x_min,x_max,y_min,y_max,spearman_diff_id,sig_diff_ge_0_05
AAV2_CAPSD_Sinai,prop50,0.46112618949411516,0.0836208443981733,15,14,15,0.1438736935734934,0.4098765432098765,0.4450236994399351,0.5166290160774228,0.07160531663748776,True
BP434_RPC1_Tsuboyama,prop50,0.5,0.6666666666666667,3,3,3,0.0010302513428535,0.0047709387124455,0.5527121155171922,0.5855807207412946,0.0328686052241024,False
BPP22_COAT_Tsuboyama,prop50,-0.5874125874125874,0.044609296463363105,12,12,12,0.0382399653479641,0.9764765088276576,0.1296085583865594,0.3819819081148339,0.2523733497282745,True
BPT7_RPOL_Tsuboyama,prop50,0.4175824175824176,0.1556747536334745,13,13,13,0.0004764512206395,0.9414747494489506,0.0048957536176969,0.3657432041593124,0.3608474505416155,True
CVB3_2A_Alvarez,prop50,0.9339431975353207,2.6028693621417547e-05,11,10,11,0.0019886052164971,0.8555689909982533,0.2005211442406524,0.3754763142523522,0.17495517001169977,True
CVB3_2B_Alvarez,prop50,0.5878787878787878,0.07387770688865801,10,10,10,0.004796568361159,0.8215975131774564,0.1589457747725373,0.5683987095385541,0.4094529347660168,True
CVB3_2C_Alvarez,prop50,0.7,0.1881204043741873,5,5,5,0.1233310703779135,0.6155487804878049,0.2374464525689006,0.4980052368792234,0.26055878431032276,True
CVB3_3A_Alvarez,prop50,0.9300699300699302,1.170222792865967e-05,12,12,12,0.0064608663613874,0.8482629916738443,0.2456859132241753,0.5006360747775844,0.2549501615534091,True
CVB3_3B_Alvarez,prop50,-0.11538461538461539,0.7073898735142602,13,13,13,0.3610107299716462,0.9914399788718172,0.2534656987952812,0.5142547745800389,0.2607890757847577,True
CVB3_3C_Alvarez,prop50,0.7692307692307693,0.0021122295993498776,13,13,13,0.0015651701224331,0.8583765112262521,0.3819289685307439,0.5165719034760965,0.13464293494535262,True
CVB3_3D_Alvarez,prop50,0.7202797202797203,0.008239768712338441,12,12,12,0.0472981919291483,0.5315907393577296,0.3241367416225363,0.5137181022370447,0.18958136061450842,True
CVB3_POLG_Mattenberger,prop50,0.5,0.6666666666666667,3,3,3,0.1869775626924769,0.1871943085815918,0.3563465896039098,0.3681686811856798,0.01182209158177,False
CVB3_VP1_Alvarez,prop50,-0.2527472527472528,0.3833149644785111,14,14,14,0.2288003561095036,0.4174199366624022,0.2917651213206387,0.4120800467161264,0.12031492539548772,True
CVB3_VP3_Alvarez,prop50,0.8461538461538461,0.00026601205575225274,13,13,13,0.075610503729437,0.3559463986599665,0.3310881889510161,0.4415835277271525,0.11049533877613638,True
DENV_POLG_Suphatrakul,prop50,-0.7357142857142855,0.0017698686421442707,15,15,15,0.7415952537903757,0.9700305244658218,0.3384130814001287,0.5156574242413263,0.1772443428411976,True
EV_CAPSD_Bakhache,prop50,0.3318681318681319,0.24637718314961166,14,14,14,0.1325196163905841,0.3826249853647114,0.2196577929323886,0.251197315858425,0.03153952292603637,False
EV_REP_Bakhache,prop50,-0.5384615384615385,0.07089431754922315,12,12,12,0.1420416386836803,0.6116188675281017,0.3699705087293424,0.3899186989928068,0.019948190263464394,False
HIV1_BF520_ENV_Haddox,prop50,0.6263736263736264,0.02198860240988966,13,13,13,0.8005378229860868,0.9159594015224428,0.3925509304958862,0.4119378795148474,0.019386949018961208,False
HIV1_BG505_ENV_Haddox,prop50,0.8044107658565066,0.0009148069991185523,13,11,13,0.8032703225669268,0.9186952714535902,0.354071777140617,0.390405522150357,0.036333745009740015,False
HIV1_HV1B9_ENV_DuenasDecamp,prop50,-0.4010989010989011,0.17435746494503282,13,13,13,0.8011571125265393,0.9146517423811814,0.3740948144729011,0.4097727287142645,0.035677914241363407,False
IAV_H1_HA_Doud,prop50,-0.8602865491804904,7.892516986851823e-05,14,13,14,0.4753451918824627,0.9690522243713732,0.3841056013961453,0.4784908718612635,0.09438527046511819,True
