DMS ID,x_var,spearman_rho,p_value,n_points,x_unique,y_unique,x_min,x_max,y_min,y_max,spearman_diff_id,sig_diff_ge_0_05
AAV2_CAPSD_Sinai,prop99,-0.7048311814666257,0.003342169092984094,15,13,15,0.0046838407494145,0.0246913580246913,0.4450236994399351,0.5166290160774228,0.07160531663748776,True
BP434_RPC1_Tsuboyama,prop99,1.0,0.0,3,3,3,1.0888679584270214e-06,2.4447546566464324e-06,0.5527121155171922,0.5855807207412946,0.0328686052241024,False
BPP22_COAT_Tsuboyama,prop99,0.5104895104895105,0.08991373630263913,12,12,12,8.220169006674777e-06,0.0017386501938083,0.1296085583865594,0.3819819081148339,0.2523733497282745,True
BPT7_RPOL_Tsuboyama,prop99,0.9230769230769231,6.851685949643363e-06,13,13,13,3.20004551175839e-05,0.0466321243523316,0.0048957536176969,0.3657432041593124,0.3608474505416155,True
CVB3_2A_Alvarez,prop99,0.8154918651649875,0.002216291654695239,11,10,11,7.1644271861354e-06,0.0027027027027027,0.2005211442406524,0.3754763142523522,0.17495517001169977,True
CVB3_2B_Alvarez,prop99,0.8060606060606059,0.004862061101964606,10,10,10,0.0001408388361078,0.0351145038167938,0.1589457747725373,0.5683987095385541,0.4094529347660168,True
CVB3_2C_Alvarez,prop99,0.0,1.0,5,5,5,0.0006049053910561,0.0140117994100294,0.2374464525689006,0.4980052368792234,0.26055878431032276,True
CVB3_3A_Alvarez,prop99,0.8461538461538463,0.000521133700481005,12,12,12,0.0002472174304769,0.0494071146245059,0.2456859132241753,0.5006360747775844,0.2549501615534091,True
CVB3_3B_Alvarez,prop99,0.5879120879120878,0.03458605834210788,13,13,13,5.946128079598835e-05,0.0021676300578034,0.2534656987952812,0.5142547745800389,0.2607890757847577,True
CVB3_3C_Alvarez,prop99,0.7692307692307693,0.0021122295993498776,13,13,13,4.373728885042784e-05,0.020033388981636,0.3819289685307439,0.5165719034760965,0.13464293494535262,True
CVB3_3D_Alvarez,prop99,0.8881118881118882,0.00011413359814618011,12,12,12,7.355861886337223e-05,0.0020911127707244,0.3241367416225363,0.5137181022370447,0.18958136061450842,True
CVB3_POLG_Mattenberger,prop99,1.0,0.0,3,3,3,0.0008798944126704,0.0008904719501335,0.3563465896039098,0.3681686811856798,0.01182209158177,False
CVB3_VP1_Alvarez,prop99,0.8065934065934066,0.0004911128961691055,14,14,14,0.0003519887363604,0.0010089847691346,0.2917651213206387,0.4120800467161264,0.12031492539548772,True
CVB3_VP3_Alvarez,prop99,0.5494505494505494,0.05177062555916269,13,13,13,0.000260872233987,0.0033500837520938,0.3310881889510161,0.4415835277271525,0.11049533877613638,True
DENV_POLG_Suphatrakul,prop99,-0.7357142857142855,0.0017698686421442707,15,15,15,0.001318391562294,0.0095273332716677,0.3384130814001287,0.5156574242413263,0.1772443428411976,True
EV_CAPSD_Bakhache,prop99,0.5516483516483517,0.040849058351122895,14,14,14,0.0012458471760797,0.0658395218257562,0.2196577929323886,0.251197315858425,0.03153952292603637,False
EV_REP_Bakhache,prop99,-0.5804195804195805,0.04785597684206058,12,12,12,0.0003357958361316,0.0019960079840319,0.3699705087293424,0.3899186989928068,0.019948190263464394,False
