DMS ID,Assay,Antigen,PSSM_Spearman,EVH_Spearman,EVE_Spearman,ali_confidence,Ensemble_ESM1v,SaProt_AF,SaProt_PDB,tranception_score,plm_confidence,tranception_retrieval,trancepteve,VESPA,EVEREST
HIV1_BF520_ENV_Haddox,fitness,True,0.4930875130409269,0.407655215880488,0.475617421651495,18.09841269841269,0.5161896428823302,0.1733213101646893,0.4666270406802006,0.5142453900333633,0.880788200779965,0.5168304142232505,0.4987408000481009,0.5407981776537046,0.5214851530442906
IAV_H1_HA_Doud,fitness,True,0.3979960234111402,0.3889753909209409,0.4906634453129571,5.0,0.5501303505882671,0.1990073396655295,0.5506237725836116,0.5228366420218422,0.9132587784215024,0.5110450063350789,0.5584141987106809,0.4895384689912547,0.5996591252803891
IAV_H1_HA_Wu,fitness,True,0.3795681525987909,0.3784761674883586,0.4218666595306533,5.0,0.5089849382791217,0.2293264614445012,0.4712002351442813,0.5185282585636891,0.9132587784215024,0.5083335934020587,0.5298779390646421,0.4423055090073746,0.5151092670348544
IAV_PB2_Soh,fitness,False,0.4073263777439563,0.242970207540918,0.4193515419872189,1911.6746552968768,0.0326144450327889,0.1480313947201329,0.1713238757091558,0.4036190628862975,0.6977047167326275,0.3961384480553847,0.4599339737866559,0.3183659299733984,0.4410514281149602
IAV_H3_HA_Lee,fitness,True,0.3968264058978225,0.3795011840498859,0.4085162490936656,684.2212369791457,0.4916621628588761,0.3127106170093685,0.5824773191076897,0.3924986092243457,0.9111203896371942,0.4318247097013359,0.4364737273142965,0.4570347351849856,0.5641719492449475
AAV2_CAPSD_Sinai,fitness,True,0.2903067888434746,0.4769361686158397,0.5354770045921239,45.42703320024867,0.1758938319500535,0.0807192560853273,0.2989987609338798,0.4805594454862312,0.8652432466808119,0.5174744130788864,0.5412349521050376,0.1034461212655769,0.5444619275475872
HIV1_HV1B9_ENV_DuenasDecamp,fitness,True,0.3810615042235715,0.3805118733496107,0.3840452768000029,1.0,0.3886983927163839,0.1495058890620283,0.3227273078356488,0.4035458745840127,0.8745893302716707,0.4154089906222436,0.3974926625557139,0.3551878081952034,0.3663754228422464
LAMBDA_HCP_Tsuboyama,stability,False,0.4190065317338701,0.3250974094694026,0.4436183792731645,103.99999999999996,0.4956961050615445,0.7681202446207314,0.7893414003071094,0.4856701050944019,0.7607662301314505,0.5189183685095293,0.5439661663319415,0.6356960495881205,0.6564721377260035
IAV_H3_NP_Doud,fitness,False,0.3735608440311336,0.284154124423585,0.3486520840010275,1011.8647951373508,0.0135823208693013,0.0557875910010593,0.0808822330898906,0.3367909395696798,0.6628067618922183,0.354424797177857,0.3960904863967295,0.2499618333827225,0.3305024569491212
IAV_H1_NP_Doud,fitness,False,0.3857677204945096,0.3063179048295451,0.3685085645100212,1284.4465846107146,0.0203860182676955,0.1345101376543921,0.1511635044337796,0.4153760822896326,0.659226793991892,0.4239413448149992,0.4460856513965335,0.2703855688472014,0.3910460588877874
IAV_NA_Jiang,binding,False,0.4522267468547308,0.4757349341017366,0.5373673436118723,5.0,0.4483317156208898,0.2922432105390961,0.5792365077454077,0.5513143601850926,0.83076306393272,0.5550635533127508,0.5989954991997595,0.4044786714760452,0.6189726040907833
IAV_PA_Wu,fitness,False,0.5149915050967895,0.4966275542043161,0.5493819034951306,1643.4188396272748,0.1009806760727779,0.2018306225529374,0.2802885580467711,0.5406352623780308,0.6707063223186293,0.5688768479671534,0.590160770457191,0.3841211351361041,0.5841709740515821
SARS2_PLPRO_Wu_abundance,abundance,False,0.3446843289863369,0.3794343912821771,0.4141615246750744,76.83205253459116,0.0775638366803373,0.5093206706265723,0.5958921962221059,0.345460027748514,0.8412894198769018,0.3861191568562397,0.4415644281200256,0.4029868694417818,0.5613129630167205
SARS2_PLPRO_Wu_activity,activity,False,0.3654624800948723,0.4136462932992667,0.4447287861773019,76.83205253459116,0.0314692929953142,0.4755518176922115,0.6090518266958093,0.3101279271494349,0.8412894198769018,0.3567771054305608,0.4356080064316302,0.5165004469848111,0.5945815656821486
CVB3_POLG_Mattenberger,fitness,False,0.1654157668401258,0.3563465896039098,0.3754445136235468,94.8144660894661,0.041615271859791,0.1095044367510882,,0.3552342048917947,0.7701380378321597,0.3777952055458952,0.4111112060652147,0.3856993669023456,
DENV_POLG_Suphatrakul,fitness,False,0.4268238377770937,0.4459037993223049,0.5389074540540228,88.04823420960608,0.0004558384223378,0.1609762147497078,0.4992223198116386,0.4706588689547603,0.8974248986495169,0.5400292727777796,0.5793845571172216,0.6026580282049974,0.5995251092899063
PESV_POLG_Tsuboyama,stability,False,0.3925067963932716,0.3818613476939739,0.3616609750803385,2.0,0.0537768598635464,0.6996355319054851,0.7296678417663455,-0.0053762789852878,0.7809339573508814,0.2755641390607015,0.3242968618759844,0.4015890706593499,0.6025108208127496
SARS2_PRD0038_RBD_Starr,expression,True,0.1993189376339144,0.376459215147032,0.4323621990480557,3.0,-0.0651565998618177,0.3575771059180294,0.5104777874169375,0.2899283340582866,0.6489093429163882,,,0.2912735804834099,0.5562710489277182
HIV1_BG505_ENV_Haddox,fitness,True,0.4858169201621786,0.3620469769314123,0.4957553275402988,8.450000000000014,0.5369511741454374,0.2324839451414039,0.4797883288949779,0.4056121026276141,0.902980177026046,0.5006723787660569,0.5132144147472996,0.4784447376308439,0.5456061204107583
